指标名称,销量:变频洗衣机:当月值,出口数量:空调:当月值,出口数量:冰箱:当月值,出口数量:洗衣机:当月值,出口数量:微波炉:当月值,36大中城市日用工业消费品平均价格:冰箱:210-250立升,36大中城市日用工业消费品平均价格:空调机:1.5匹冷暖,36大中城市日用工业消费品平均价格:洗衣机:滚筒式(5kg),城镇居民人均可支配收入:累计值
2014-08-31,76.40 ,2576267.00 ,338.29 ,176.49 ,550.45 ,3134.00 ,3429.00 ,2746.00 ,
2014-09-30,87.10 ,1947788.00 ,323.44 ,191.59 ,546.93 ,3127.00 ,3427.00 ,2781.00 ,22044.00 
2014-10-31,87.50 ,1829301.00 ,301.56 ,188.19 ,510.61 ,3114.00 ,3433.00 ,2772.00 ,
2014-11-30,84.50 ,1926992.00 ,291.94 ,202.69 ,534.09 ,3108.00 ,3450.00 ,2785.00 ,
2014-12-31,88.90 ,2560216.00 ,286.04 ,194.83 ,513.41 ,3109.00 ,3424.00 ,2765.00 ,28844.00 
2015-01-31,91.90 ,3831265.00 ,315.44 ,188.95 ,541.37 ,3112.00 ,3374.00 ,2759.00 ,
2015-02-28,70.50 ,4266761.00 ,300.76 ,159.52 ,384.64 ,3133.00 ,3369.00 ,2780.00 ,
2015-03-31,85.00 ,4978298.00 ,278.46 ,147.26 ,386.78 ,3137.00 ,3440.00 ,2798.00 ,8572.00 
2015-04-30,94.20 ,5921207.00 ,360.82 ,180.10 ,453.81 ,3110.00 ,3447.00 ,2787.00 ,
2015-05-31,78.70 ,5018516.00 ,412.03 ,170.61 ,472.63 ,,,,
2015-06-30,80.80 ,3979286.00 ,375.35 ,160.71 ,403.51 ,3100.00 ,3477.00 ,2789.00 ,15698.95 
2015-07-31,87.10 ,3085042.00 ,365.87 ,174.26 ,451.67 ,3079.00 ,3481.00 ,2789.00 ,
2015-08-31,106.30 ,2121613.00 ,350.80 ,194.38 ,461.25 ,3067.00 ,3481.00 ,2776.00 ,
2015-09-30,106.00 ,1776530.00 ,309.77 ,191.69 ,496.02 ,3056.00 ,3476.00 ,2771.00 ,23512.12 
2015-10-31,106.40 ,1671735.00 ,317.39 ,184.34 ,410.95 ,3048.00 ,3445.00 ,2770.00 ,
2015-11-30,99.70 ,1829561.00 ,270.08 ,174.21 ,449.31 ,3049.00 ,3445.00 ,2757.00 ,
2015-12-31,109.70 ,2933027.00 ,310.89 ,189.82 ,458.97 ,3034.00 ,3430.00 ,2753.00 ,31194.83 
2016-01-31,107.50 ,4020000.00 ,303.00 ,176.00 ,454.00 ,2969.00 ,3415.00 ,2759.00 ,
2016-02-29,86.10 ,4000000.00 ,262.00 ,150.00 ,314.00 ,2997.00 ,3415.00 ,2760.00 ,
2016-03-31,108.40 ,5510000.00 ,384.00 ,193.00 ,462.00 ,3011.00 ,3425.00 ,2762.00 ,9254.71 
2016-04-30,108.10 ,6110000.00 ,410.00 ,192.00 ,445.00 ,3019.00 ,3419.00 ,2764.00 ,
2016-05-31,91.20 ,5730000.00 ,459.00 ,198.00 ,442.00 ,3018.00 ,3407.00 ,2757.00 ,
2016-06-30,91.90 ,4220000.00 ,428.00 ,179.00 ,461.00 ,3013.00 ,3409.00 ,2752.00 ,16957.00 
2016-07-31,95.90 ,3060000.00 ,393.00 ,179.00 ,488.00 ,3001.00 ,3400.00 ,2740.00 ,
2016-08-31,125.30 ,2460000.00 ,408.00 ,202.00 ,496.00 ,2978.00 ,3414.00 ,2727.00 ,
2016-09-30,126.50 ,1630000.00 ,347.00 ,187.00 ,578.00 ,2980.00 ,3419.00 ,2726.00 ,25336.59 
2016-10-31,135.10 ,1670000.00 ,323.00 ,197.00 ,446.00 ,2996.00 ,3420.00 ,2737.00 ,
2016-11-30,122.90 ,2110000.00 ,360.00 ,205.00 ,540.00 ,2973.00 ,3410.00 ,2753.00 ,
2016-12-31,149.30 ,2680000.00 ,361.00 ,195.00 ,503.00 ,2919.00 ,3409.00 ,2800.00 ,33616.00 
2017-01-31,147.80 ,4490000.00 ,356.00 ,197.00 ,468.00 ,3013.00 ,3461.00 ,2871.00 ,
2017-02-28,113.80 ,4870000.00 ,291.00 ,151.00 ,310.00 ,3046.00 ,3510.00 ,2860.00 ,
2017-03-31,135.70 ,7130000.00 ,440.00 ,220.00 ,499.00 ,3020.00 ,3490.00 ,2915.00 ,9986.00 
2017-04-30,134.90 ,7000000.00 ,437.00 ,174.00 ,467.00 ,3016.00 ,3488.00 ,2920.00 ,
2017-05-31,136.70 ,6870000.00 ,525.00 ,186.00 ,536.00 ,2986.00 ,3502.00 ,2902.00 ,
2017-06-30,132.90 ,5040000.00 ,496.00 ,194.00 ,538.00 ,2985.00 ,3511.00 ,2907.00 ,18321.88 
2017-07-31,,,,,,2959.00 ,3497.00 ,2894.00 ,
