指标名称,产量:空调:当月值,产量:家用电冰箱:当月值,产量:家用洗衣机:当月值,出口数量:洗碗机:当月值,出口数量:吸油烟机:当月值,产量:铜材:当月值,产量:氧化铝:当月值,产量:铝材:当月值,进口数量:未锻造的铜及铜材:当月值,价格:冷轧板卷:0.5mm:广州,含税价:镀锌薄板:0.5mm:北京,含税价:镀锌薄板:1mm:北京,期货结算价(活跃合约):焦煤,市场价:无烟煤(2号洗中块):全国,市场价:普通混煤(Q4500):全国,市场价:山西大混(Q5000):全国,进口数量:未锻造的铝及铝材:当月值,市场价:山西优混(Q5500):全国,市场价:大同混煤(Q5800):全国,煤炭运价(云洲船务报):印尼南加TABONEO锚地→连云港:5万-6万吨带吊杆和抓斗船舶,煤炭运价(云洲船务报):澳大利亚NEWCASTLE泊位→宁德:6万-7万吨不带吊杆和抓斗船舶,进口数量:废铜:当月值,平均价(不含税):铜精矿:20%:江西,居民消费水平:全体居民:农村居民,申万行业指数:白色家电,出口金额:中央空调:当月值,城市人均住宅建筑面积,库存:洗衣机:当月值,库存:冰箱:当月值,库存:家用空调:当月值,库存:滚筒洗衣机:当月值,库存:冰柜:当月值
2015-07-23,,,,,,,,,,3150.00 ,3400.00 ,3050.00 ,613.50 ,,,,,,,6.10 ,10.25 ,,32800.00 ,,9741.81 ,,,,,,,
2015-07-24,,,,,,,,,,3150.00 ,,,615.00 ,,,,,,,,,,32300.00 ,,9540.00 ,,,,,,,
2015-07-27,,,,,,,,,,3150.00 ,,,616.50 ,,,,,,,6.00 ,10.00 ,,32300.00 ,,8775.79 ,,,,,,,
2015-07-28,,,,,,,,,,3150.00 ,,,608.50 ,,,,,,,6.00 ,9.90 ,,32100.00 ,,8945.81 ,,,,,,,
2015-07-29,,,,,,,,,,3150.00 ,,,618.50 ,,,,,,,,,,32600.00 ,,9193.24 ,,,,,,,
2015-07-30,,,,,,,,,,3150.00 ,3330.00 ,2980.00 ,617.50 ,,,,,,,6.00 ,9.80 ,,32500.00 ,,8900.70 ,,,,,,,
2015-07-31,1213.60 ,776.80 ,558.20 ,25.80 ,62.03 ,157.30 ,465.00 ,444.20 ,348270.06 ,3150.00 ,,,612.50 ,895.80 ,330.00 ,360.00 ,65217.90 ,415.00 ,470.00 ,,,358160.00 ,32300.00 ,,9029.76 ,5.78 ,,444.00 ,287.60 ,528.90 ,221.70 ,43.20 
2015-08-03,,,,,,,,,,3150.00 ,,,613.00 ,,,,,,,,,,32200.00 ,,9116.62 ,,,,,,,
2015-08-04,,,,,,,,,,3150.00 ,,,612.50 ,,,,,,,5.90 ,9.55 ,,31900.00 ,,9343.74 ,,,,,,,
2015-08-05,,,,,,,,,,3150.00 ,,,614.50 ,,,,,,,,,,31900.00 ,,9229.80 ,,,,,,,
2015-08-06,,,,,,,,,,3150.00 ,3330.00 ,2980.00 ,616.00 ,,,,,,,,,,31900.00 ,,9116.96 ,,,,,,,
2015-08-07,,,,,,,,,,3150.00 ,,,613.50 ,,,,,,,5.90 ,9.35 ,,31800.00 ,,9333.77 ,,,,,,,
2015-08-10,,,,,,,,,,3150.00 ,,,592.50 ,891.70 ,328.00 ,358.00 ,,410.00 ,468.00 ,,,,31800.00 ,,9707.64 ,,,,,,,
2015-08-11,,,,,,,,,,3150.00 ,,,600.50 ,,,,,,,5.80 ,9.00 ,,32800.00 ,,9759.31 ,,,,,,,
2015-08-12,,,,,,,,,,3100.00 ,,,606.50 ,,,,,,,5.80 ,8.90 ,,32700.00 ,,9552.80 ,,,,,,,
2015-08-13,,,,,,,,,,3100.00 ,3310.00 ,2960.00 ,621.00 ,,,,,,,,,,33000.00 ,,9712.78 ,,,,,,,
2015-08-14,,,,,,,,,,3100.00 ,,,619.00 ,,,,,,,,,,33000.00 ,,9627.75 ,,,,,,,
2015-08-17,,,,,,,,,,3100.00 ,,,615.50 ,,,,,,,,,,32800.00 ,,9529.10 ,,,,,,,
2015-08-18,,,,,,,,,,3100.00 ,,,609.50 ,,,,,,,,,,32800.00 ,,8910.56 ,,,,,,,
2015-08-19,,,,,,,,,,3100.00 ,,,604.00 ,,,,,,,5.60 ,8.75 ,,32500.00 ,,9005.76 ,,,,,,,
2015-08-20,,,,,,,,,,3100.00 ,3310.00 ,2960.00 ,602.50 ,855.80 ,325.00 ,355.00 ,,410.00 ,465.00 ,,,,32500.00 ,,8701.82 ,,,,,,,
2015-08-21,,,,,,,,,,3100.00 ,,,599.50 ,,,,,,,,,,32800.00 ,,8177.68 ,,,,,,,
2015-08-24,,,,,,,,,,3100.00 ,,,581.50 ,,,,,,,,,,32300.00 ,,7431.35 ,,,,,,,
2015-08-25,,,,,,,,,,3100.00 ,,,576.00 ,,,,,,,,,,32800.00 ,,7075.49 ,,,,,,,
2015-08-26,,,,,,,,,,3100.00 ,,,569.00 ,,,,,,,,,,33000.00 ,,7232.16 ,,,,,,,
2015-08-27,,,,,,,,,,3100.00 ,3300.00 ,2950.00 ,568.50 ,,,,,,,,,,32900.00 ,,7498.62 ,,,,,,,
2015-08-28,,,,,,,,,,3100.00 ,,,577.00 ,,,,,,,,,,33100.00 ,,7816.75 ,,,,,,,
2015-08-31,1053.06 ,719.10 ,611.14 ,26.52 ,70.09 ,156.24 ,488.00 ,453.67 ,346752.15 ,3100.00 ,,,571.00 ,849.20 ,325.00 ,355.00 ,71552.96 ,410.00 ,465.00 ,5.30 ,8.55 ,290303.00 ,33000.00 ,,7643.32 ,5.93 ,,453.20 ,252.90 ,480.60 ,216.80 ,38.10 
2015-09-01,,,,,,,,,,3100.00 ,,,572.50 ,,,,,,,,,,33000.00 ,,7438.23 ,,,,,,,
