指标名称,现货价:镀锌板:1mm:全国,现货价:热轧普通薄板:3mm:全国,"车板价:主焦煤(A<10.5%,V21-25%,S<1%,G>75%,邯郸产):河北"
2011-07-22,,,1580.00 
2011-07-25,,,1580.00 
2011-07-26,,,1580.00 
2011-07-27,,,1580.00 
2011-07-28,,,1580.00 
2011-07-29,,,1580.00 
2011-08-01,5854.00 ,5012.00 ,1580.00 
2011-08-02,,,1580.00 
2011-08-03,,,1580.00 
2011-08-04,,,1580.00 
2011-08-05,,,1580.00 
2011-08-08,,,1580.00 
2011-08-09,,,1580.00 
2011-08-10,,,1580.00 
2011-08-11,,,1580.00 
2011-08-12,,,1580.00 
2011-08-15,5885.00 ,5020.00 ,1580.00 
2011-08-16,,,1580.00 
2011-08-17,,,1580.00 
2011-08-18,,,1580.00 
2011-08-19,,,1580.00 
2011-08-22,,,1580.00 
2011-08-23,,,1580.00 
2011-08-24,,,1580.00 
2011-08-25,,,1580.00 
2011-08-26,,,1580.00 
2011-08-29,,,1590.00 
2011-08-30,,,1590.00 
2011-08-31,,,1610.00 
2011-09-01,5895.00 ,5015.00 ,1610.00 
2011-09-02,,,1610.00 
2011-09-05,,,1610.00 
2011-09-06,,,1610.00 
2011-09-07,,,1610.00 
2011-09-08,,,1610.00 
2011-09-09,,,1610.00 
2011-09-12,,,1610.00 
2011-09-13,,,1610.00 
2011-09-14,,,1610.00 
2011-09-15,5867.00 ,4922.00 ,1610.00 
2011-09-16,,,1610.00 
2011-09-19,,,1610.00 
2011-09-20,,,1610.00 
2011-09-21,,,1610.00 
2011-09-22,,,1610.00 
2011-09-23,,,1610.00 
2011-09-26,,,1610.00 
2011-09-27,,,1610.00 
2011-09-28,,,1610.00 
2011-09-29,,,1610.00 
2011-09-30,,,1610.00 
2011-10-01,5745.00 ,4848.00 ,
2011-10-03,,,1610.00 
2011-10-04,,,1610.00 
2011-10-05,,,1610.00 
2011-10-06,,,1610.00 
2011-10-07,,,1610.00 
2011-10-10,,,1610.00 
2011-10-11,,,1610.00 
2011-10-12,,,1610.00 
2011-10-13,,,1610.00 
2011-10-14,,,1610.00 
2011-10-15,5582.00 ,4617.00 ,
2011-10-17,,,1610.00 
2011-10-18,,,1610.00 
2011-10-19,,,1610.00 
2011-10-20,,,1610.00 
2011-10-21,,,1610.00 
2011-10-24,,,1610.00 
2011-10-25,,,1610.00 
2011-10-26,,,1610.00 
2011-10-27,,,1610.00 
2011-10-28,,,1610.00 
2011-10-31,,,1610.00 
2011-11-01,5493.00 ,4577.00 ,1610.00 
2011-11-02,,,1610.00 
2011-11-03,,,1610.00 
2011-11-04,,,1610.00 
2011-11-07,,,1610.00 
2011-11-08,,,1610.00 
2011-11-09,,,1610.00 
2011-11-10,,,1610.00 
2011-11-11,,,1610.00 
2011-11-14,,,1610.00 
2011-11-15,5444.00 ,4551.00 ,1610.00 
2011-11-16,,,1610.00 
2011-11-17,,,1610.00 
2011-11-18,,,1610.00 
2011-11-21,,,1610.00 
2011-11-22,,,1610.00 
2011-11-23,,,1610.00 
2011-11-24,,,1610.00 
2011-11-25,,,1610.00 
2011-11-28,,,1610.00 
2011-11-29,,,1610.00 
2011-11-30,,,1610.00 
2011-12-01,5373.00 ,4518.00 ,1610.00 
2011-12-02,,,1610.00 
2011-12-05,,,1610.00 
2011-12-06,,,1580.00 
2011-12-07,,,1580.00 
2011-12-08,,,1580.00 
2011-12-09,,,1580.00 
2011-12-12,,,1580.00 
2011-12-13,,,1580.00 
2011-12-14,,,1580.00 
2011-12-15,5334.00 ,4481.00 ,1580.00 
2011-12-16,,,1580.00 
2011-12-19,,,1580.00 
2011-12-20,,,1580.00 
2011-12-21,,,1580.00 
2011-12-22,,,1580.00 
2011-12-23,,,1580.00 
2011-12-26,,,1580.00 
2011-12-27,,,1580.00 
2011-12-28,,,1580.00 
2011-12-29,,,1580.00 
2011-12-30,,,1580.00 
2012-01-01,5281.00 ,4446.00 ,
2012-01-02,,,1580.00 
2012-01-03,,,1580.00 
2012-01-04,,,1580.00 
2012-01-05,,,1580.00 
2012-01-06,,,1580.00 
2012-01-09,,,1580.00 
2012-01-10,,,1580.00 
2012-01-11,,,1580.00 
2012-01-12,,,1580.00 
2012-01-13,,,1580.00 
2012-01-15,5267.00 ,4441.00 ,
2012-01-16,,,1580.00 
2012-01-17,,,1580.00 
2012-01-18,,,1580.00 
2012-01-19,,,1580.00 
2012-01-20,,,1580.00 
2012-01-23,,,1580.00 
2012-01-24,,,1580.00 
2012-01-25,,,1580.00 
2012-01-26,,,1580.00 
2012-01-27,,,1580.00 
2012-01-30,,,1580.00 
2012-01-31,,,1580.00 
2012-02-01,5248.00 ,4439.00 ,1580.00 
2012-02-02,,,1580.00 
2012-02-03,,,1580.00 
2012-02-06,,,1580.00 
2012-02-07,,,1580.00 
2012-02-08,,,1580.00 
2012-02-09,,,1580.00 
2012-02-10,,,1580.00 
2012-02-13,,,1580.00 
2012-02-14,,,1580.00 
2012-02-15,5229.00 ,4443.00 ,1580.00 
2012-02-16,,,1580.00 
2012-02-17,,,1580.00 
2012-02-20,,,1580.00 
2012-02-21,,,1580.00 
2012-02-22,,,1580.00 
2012-02-23,,,1580.00 
2012-02-24,,,1550.00 
2012-02-27,,,1540.00 
2012-02-28,,,1540.00 
2012-02-29,,,1540.00 
2012-03-01,5233.00 ,4486.00 ,1540.00 
2012-03-02,,,1540.00 
2012-03-05,,,1540.00 
2012-03-06,,,1540.00 
2012-03-07,,,1540.00 
2012-03-08,,,1540.00 
2012-03-09,,,1540.00 
2012-03-12,,,1540.00 
2012-03-13,,,1540.00 
2012-03-14,,,1540.00 
2012-03-15,5232.00 ,4510.00 ,1540.00 
2012-03-16,,,1540.00 
2012-03-19,,,1540.00 
2012-03-20,,,1540.00 
2012-03-21,,,1540.00 
2012-03-22,,,1540.00 
2012-03-23,,,1540.00 
2012-03-26,,,1540.00 
2012-03-27,,,1540.00 
2012-03-28,,,1540.00 
2012-03-29,,,1540.00 
2012-03-30,,,1540.00 
2012-04-01,5273.00 ,4545.00 ,
2012-04-02,,,1540.00 
2012-04-03,,,1540.00 
2012-04-04,,,1540.00 
2012-04-05,,,1540.00 
2012-04-06,,,1540.00 
2012-04-09,,,1540.00 
2012-04-10,,,1540.00 
2012-04-11,,,1540.00 
2012-04-12,,,1540.00 
2012-04-13,,,1540.00 
2012-04-15,5250.00 ,4525.00 ,
2012-04-16,,,1540.00 
2012-04-17,,,1540.00 
2012-04-18,,,1540.00 
2012-04-19,,,1540.00 
2012-04-20,,,1540.00 
2012-04-23,,,1540.00 
2012-04-24,,,1540.00 
2012-04-25,,,1540.00 
2012-04-26,,,1540.00 
2012-04-27,,,1540.00 
2012-04-30,,,1540.00 
2012-05-01,5225.00 ,4470.00 ,1540.00 
2012-05-02,,,1540.00 
2012-05-03,,,1540.00 
2012-05-04,,,1540.00 
2012-05-07,,,1540.00 
2012-05-08,,,1540.00 
2012-05-09,,,1540.00 
2012-05-10,,,1540.00 
2012-05-11,,,1540.00 
2012-05-14,,,1540.00 
2012-05-15,5194.00 ,4401.00 ,1540.00 
2012-05-16,,,1540.00 
2012-05-17,,,1540.00 
2012-05-18,,,1540.00 
2012-05-21,,,1540.00 
2012-05-22,,,1540.00 
2012-05-23,,,1540.00 
2012-05-24,,,1540.00 
2012-05-25,,,1540.00 
2012-05-28,,,1530.00 
2012-05-29,,,1530.00 
2012-05-30,,,1520.00 
2012-05-31,,,1500.00 
2012-06-01,5183.00 ,4371.00 ,1500.00 
2012-06-04,,,1500.00 
2012-06-05,,,1500.00 
2012-06-06,,,1500.00 
2012-06-07,,,1500.00 
2012-06-08,,,1500.00 
2012-06-11,,,1500.00 
2012-06-12,,,1500.00 
2012-06-13,,,1500.00 
2012-06-14,,,1500.00 
2012-06-15,5163.00 ,4330.00 ,1500.00 
2012-06-18,,,1500.00 
2012-06-19,,,1500.00 
2012-06-20,,,1500.00 
2012-06-21,,,1500.00 
2012-06-22,,,1500.00 
2012-06-25,,,1480.00 
2012-06-26,,,1470.00 
2012-06-27,,,1470.00 
2012-06-28,,,1440.00 
2012-06-29,,,1440.00 
2012-07-01,5096.00 ,4246.00 ,
2012-07-02,,,1440.00 
2012-07-03,,,1440.00 
2012-07-04,,,1440.00 
2012-07-05,,,1440.00 
2012-07-06,,,1440.00 
2012-07-09,,,1440.00 
2012-07-10,,,1440.00 
2012-07-11,,,1440.00 
2012-07-12,,,1440.00 
2012-07-13,,,1440.00 
2012-07-15,5035.00 ,4048.00 ,
2012-07-16,,,1440.00 
2012-07-17,,,1440.00 
