时间,秦皇岛港:平仓价:大同优混(Q5800K)
2016/2/2,0
2016/2/3,0
2016/2/4,0
2016/2/5,0
2016/2/8,404
2016/2/14,0
2016/2/15,404
2016/2/16,0
2016/2/17,0
2016/2/18,0
2016/2/19,0
2016/2/22,404
2016/2/23,0
2016/2/24,0
2016/2/25,0
2016/2/26,0
2016/2/29,408
2016/3/1,0
2016/3/2,0
2016/3/3,0
2016/3/4,0
2016/3/7,409.2
2016/3/8,0
2016/3/9,0
2016/3/10,0
2016/3/11,416.75
2016/3/14,413.4
2016/3/15,0
2016/3/16,0
2016/3/17,0
2016/3/18,0
2016/3/21,416
2016/3/22,0
2016/3/23,0
2016/3/24,0
2016/3/25,0
2016/3/28,415.4
2016/3/29,0
2016/3/30,0
2016/3/31,0
2016/4/1,0
2016/4/4,416
2016/4/5,0
2016/4/6,0
2016/4/7,0
2016/4/8,0
2016/4/11,0
2016/4/12,0
2016/4/13,0
2016/4/14,0
2016/4/15,0
2016/4/18,417.6
2016/4/19,0
2016/4/20,0
2016/4/21,0
2016/4/22,0
2016/4/25,414
2016/4/26,0
2016/4/27,0
2016/4/28,0
2016/4/29,0
2016/5/2,413.75
2016/5/3,0
2016/5/4,0
2016/5/5,0
2016/5/6,0
2016/5/9,413
2016/5/10,0
2016/5/11,0
2016/5/12,0
2016/5/13,0
2016/5/16,413
2016/5/17,0
2016/5/18,0
2016/5/19,0
2016/5/20,0
2016/5/23,412.6
2016/5/24,0
2016/5/25,0
2016/5/26,0
2016/5/27,0
2016/5/30,414.4
2016/5/31,0
2016/6/1,0
2016/6/2,0
2016/6/3,0
2016/6/6,417.4
2016/6/7,0
2016/6/8,0
2016/6/12,0
2016/6/13,421
2016/6/14,0
2016/6/15,0
2016/6/16,0
2016/6/17,0
2016/6/20,424.4
2016/6/21,0
2016/6/22,0
2016/6/23,0
2016/6/24,0
2016/6/27,427.6
2016/6/28,0
2016/6/29,0
2016/6/30,0
2016/7/1,0
2016/7/4,431.8
2016/7/5,0
2016/7/6,0
2016/7/7,0
2016/7/8,0
2016/7/11,437
2016/7/12,0
2016/7/13,0
2016/7/14,0
2016/7/15,0
2016/7/18,441.6
2016/7/19,0
2016/7/20,0
2016/7/21,0
2016/7/22,0
2016/7/25,450
2016/7/26,0
2016/7/27,0
2016/7/28,0
2016/7/29,0
2016/8/1,464.2
2016/8/2,0
2016/8/3,0
2016/8/4,0
2016/8/5,0
2016/8/8,481.4
2016/8/9,0
2016/8/10,0
2016/8/11,0
2016/8/12,0
2016/8/15,493.6
2016/8/16,0
2016/8/17,0
2016/8/18,0
2016/8/19,0
2016/8/22,504.6
2016/8/23,0
2016/8/24,0
2016/8/25,0
2016/8/26,0
2016/8/29,515.8
2016/8/30,0
2016/8/31,0
2016/9/1,0
2016/9/2,0
2016/9/5,526.4
2016/9/6,0
2016/9/7,0
2016/9/8,0
2016/9/9,0
2016/9/12,565.4
2016/9/13,0
2016/9/14,0
2016/9/18,0
2016/9/19,573.75
2016/9/20,0
2016/9/21,0
2016/9/22,0
2016/9/23,0
2016/9/26,583.2
2016/9/27,0
2016/9/28,0
2016/9/29,0
