指标名称,水泥价格指数:全国,房地产开发投资完成额:累计值,水泥:产量:累计值,水泥:销量:累计值,水泥:库存比年初增长,产量:水泥:北京:当月值,产量:水泥:天津:当月值,产量:水泥:河北:当月值,产量:水泥:山西:当月值,产量:水泥:内蒙古:当月值,产量:水泥:辽宁:当月值,产量:水泥:吉林:当月值,产量:水泥:黑龙江:当月值,产量:水泥:上海:当月值,产量:水泥:江苏:当月值,产量:水泥:浙江:当月值,产量:水泥:安徽:当月值,产量:水泥:福建:当月值,产量:水泥:江西:当月值,产量:水泥:山东:当月值,产量:水泥:河南:当月值,产量:水泥:湖北:当月值,产量:水泥:湖南:当月值,产量:水泥:广东:当月值,产量:水泥:广西:当月值,产量:水泥:海南:当月值,产量:水泥:重庆:当月值,产量:水泥:四川:当月值,产量:水泥:贵州:当月值,产量:水泥:云南:当月值,产量:水泥:西藏:当月值,产量:水泥:陕西:当月值,产量:水泥:甘肃:当月值,产量:水泥:青海:当月值,产量:水泥:宁夏:当月值,产量:水泥:新疆:当月值,产量:水泥熟料:北京:当月值,产量:水泥熟料:天津:当月值,产量:水泥熟料:河北:当月值,产量:水泥熟料:山西:当月值,产量:水泥熟料:内蒙古:当月值,产量:水泥熟料:辽宁:当月值,产量:水泥熟料:吉林:当月值,产量:水泥熟料:黑龙江:当月值,产量:水泥熟料:上海:当月值,产量:水泥熟料:江苏:当月值,产量:水泥熟料:浙江:当月值,产量:水泥熟料:安徽:当月值,产量:水泥熟料:福建:当月值,产量:水泥熟料:江西:当月值,产量:水泥熟料:山东:当月值,产量:水泥熟料:河南:当月值,产量:水泥熟料:湖北:当月值,产量:水泥熟料:湖南:当月值,产量:水泥熟料:广东:当月值,产量:水泥熟料:广西:当月值,产量:水泥熟料:海南:当月值,产量:水泥熟料:重庆:当月值,产量:水泥熟料:四川:当月值,产量:水泥熟料:贵州:当月值,产量:水泥熟料:云南:当月值,产量:水泥熟料:西藏:当月值,产量:水泥熟料:陕西:当月值,产量:水泥熟料:甘肃:当月值,产量:水泥熟料:青海:当月值,产量:水泥熟料:宁夏:当月值,产量:水泥熟料:新疆:当月值,产量:窑外分解窑水泥熟料:北京:当月值,产量:窑外分解窑水泥熟料:天津:当月值,产量:窑外分解窑水泥熟料:河北:当月值,产量:窑外分解窑水泥熟料:山西:当月值,产量:窑外分解窑水泥熟料:内蒙古:当月值,产量:窑外分解窑水泥熟料:辽宁:当月值,产量:窑外分解窑水泥熟料:吉林:当月值,产量:窑外分解窑水泥熟料:黑龙江:当月值,产量:窑外分解窑水泥熟料:上海:当月值,产量:窑外分解窑水泥熟料:江苏:当月值,产量:窑外分解窑水泥熟料:浙江:当月值,产量:窑外分解窑水泥熟料:安徽:当月值,产量:窑外分解窑水泥熟料:福建:当月值,产量:窑外分解窑水泥熟料:江西:当月值,产量:窑外分解窑水泥熟料:山东:当月值,产量:窑外分解窑水泥熟料:河南:当月值,产量:窑外分解窑水泥熟料:湖北:当月值,产量:窑外分解窑水泥熟料:湖南:当月值,产量:窑外分解窑水泥熟料:广东:当月值,产量:窑外分解窑水泥熟料:广西:当月值,产量:窑外分解窑水泥熟料:海南:当月值,产量:窑外分解窑水泥熟料:重庆:当月值,产量:窑外分解窑水泥熟料:四川:当月值,产量:窑外分解窑水泥熟料:贵州:当月值,产量:窑外分解窑水泥熟料:云南:当月值,产量:窑外分解窑水泥熟料:西藏:当月值,产量:窑外分解窑水泥熟料:陕西:当月值,产量:窑外分解窑水泥熟料:甘肃:当月值,产量:窑外分解窑水泥熟料:青海:当月值,产量:窑外分解窑水泥熟料:宁夏:当月值,产量:窑外分解窑水泥熟料:新疆:当月值,产量:商品混凝土:北京:当月值,产量:商品混凝土:天津:当月值,产量:商品混凝土:河北:当月值,产量:商品混凝土:山西:当月值,产量:商品混凝土:内蒙古:当月值,产量:商品混凝土:辽宁:当月值,产量:商品混凝土:吉林:当月值,产量:商品混凝土:黑龙江:当月值,产量:商品混凝土:上海:当月值,产量:商品混凝土:江苏:当月值,产量:商品混凝土:浙江:当月值,产量:商品混凝土:安徽:当月值,产量:商品混凝土:福建:当月值,产量:商品混凝土:江西:当月值,产量:商品混凝土:山东:当月值,产量:商品混凝土:河南:当月值,产量:商品混凝土:湖北:当月值,产量:商品混凝土:湖南:当月值,产量:商品混凝土:广东:当月值,产量:商品混凝土:广西:当月值,产量:商品混凝土:海南:当月值,产量:商品混凝土:重庆:当月值,产量:商品混凝土:四川:当月值,产量:商品混凝土:贵州:当月值,产量:商品混凝土:云南:当月值,产量:商品混凝土:陕西:当月值,产量:商品混凝土:甘肃:当月值,产量:商品混凝土:青海:当月值,产量:商品混凝土:宁夏:当月值,产量:商品混凝土:新疆:当月值,产量:水泥混凝土排水管:北京:当月值,产量:水泥混凝土排水管:天津:当月值,产量:水泥混凝土排水管:河北:当月值,产量:水泥混凝土排水管:山西:当月值,产量:水泥混凝土排水管:内蒙古:当月值,产量:水泥混凝土排水管:辽宁:当月值,产量:水泥混凝土排水管:黑龙江:当月值,产量:水泥混凝土排水管:上海:当月值,产量:水泥混凝土排水管:江苏:当月值,产量:水泥混凝土排水管:浙江:当月值,产量:水泥混凝土排水管:安徽:当月值,产量:水泥混凝土排水管:福建:当月值,产量:水泥混凝土排水管:江西:当月值,产量:水泥混凝土排水管:山东:当月值,产量:水泥混凝土排水管:河南:当月值,产量:水泥混凝土排水管:湖北:当月值,产量:水泥混凝土排水管:湖南:当月值,产量:水泥混凝土排水管:广东:当月值,产量:水泥混凝土排水管:广西:当月值,产量:水泥混凝土排水管:海南:当月值,产量:水泥混凝土排水管:重庆:当月值,产量:水泥混凝土排水管:四川:当月值,产量:水泥混凝土排水管:云南:当月值,产量:水泥混凝土排水管:陕西:当月值,产量:水泥混凝土排水管:宁夏:当月值,产量:水泥混凝土排水管:新疆:当月值,产量:水泥混凝土电杆:天津:当月值,产量:水泥混凝土电杆:河北:当月值,产量:水泥混凝土电杆:山西:当月值,产量:水泥混凝土电杆:内蒙古:当月值,产量:水泥混凝土电杆:辽宁:当月值,产量:水泥混凝土电杆:吉林:当月值,产量:水泥混凝土电杆:黑龙江:当月值,产量:水泥混凝土电杆:江苏:当月值,产量:水泥混凝土电杆:浙江:当月值,产量:水泥混凝土电杆:安徽:当月值,产量:水泥混凝土电杆:福建:当月值,产量:水泥混凝土电杆:江西:当月值,产量:水泥混凝土电杆:山东:当月值,产量:水泥混凝土电杆:河南:当月值,产量:水泥混凝土电杆:湖北:当月值,产量:水泥混凝土电杆:湖南:当月值,产量:水泥混凝土电杆:广东:当月值,产量:水泥混凝土电杆:广西:当月值,产量:水泥混凝土电杆:重庆:当月值,产量:水泥混凝土电杆:四川:当月值,产量:水泥混凝土电杆:贵州:当月值,产量:水泥混凝土电杆:云南:当月值,产量:水泥混凝土电杆:陕西:当月值,产量:水泥混凝土电杆:甘肃:当月值,产量:水泥混凝土电杆:青海:当月值,产量:水泥混凝土电杆:宁夏:当月值,产量:水泥混凝土电杆:新疆:当月值,产量:预应力混凝土桩:天津:当月值,产量:预应力混凝土桩:河北:当月值,产量:预应力混凝土桩:辽宁:当月值,产量:预应力混凝土桩:上海:当月值,产量:预应力混凝土桩:江苏:当月值,产量:预应力混凝土桩:浙江:当月值,产量:预应力混凝土桩:安徽:当月值,产量:预应力混凝土桩:福建:当月值,产量:预应力混凝土桩:江西:当月值,产量:预应力混凝土桩:山东:当月值,产量:预应力混凝土桩:河南:当月值,产量:预应力混凝土桩:湖北:当月值,产量:预应力混凝土桩:湖南:当月值,产量:预应力混凝土桩:广东:当月值,产量:预应力混凝土桩:广西:当月值,产量:预应力混凝土桩:海南:当月值,产量:预应力混凝土桩:重庆:当月值,产量:预应力混凝土桩:四川:当月值,产量:预应力混凝土桩:云南:当月值,秦皇岛港:平仓价:大同优混(Q5800K),秦皇岛港:平仓价:山西大混(Q5000K),秦皇岛港:平仓价:普通混煤(Q4500K),出口数量:水泥,进口数量:水泥:当月值,进口数量:水泥熟料(25231000):当月值,进口数量:白水泥(25232100):当月值,进口数量:其他硅酸盐水泥(25232900):当月值,进口数量:矾土水泥(25233000):当月值,进口数量:其他水凝水泥(25239000):当月值
2014/2/14,113.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/2/17,112.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,455,380,,,,,,,
2014/2/18,112.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/2/19,112.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/2/20,112.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/2/21,112.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/2/24,111.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,465,405,,,,,,,
2014/2/25,111.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/2/26,111.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/2/27,111.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/2/28,,7955.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,19960.39,446.65,95.21,658.22,202.1
2014/3/3,111.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,470,415,,,,,,,
2014/3/4,111.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/5,111.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/6,111.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/7,111.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/10,111.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,460,415,,,,,,,
2014/3/11,111.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/12,111.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/13,110.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/14,110.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/17,110.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,455,405,,,,,,,
2014/3/18,110.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/19,110.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/20,110.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/21,110.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/24,110.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,450,400,,,,,,,
2014/3/25,110.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/26,110.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/27,110.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/28,110.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/31,,15339.24,44728,44093.5,5.2,58.63,86.11,948.17,304.26,382.45,364.47,263.12,149.01,56.89,1597.24,1041.97,1076.89,729.45,706.38,1435.38,1696.58,1045.14,905.86,1212.44,868.99,192.32,582.43,1478.85,805.25,867.14,16.16,814.1,329.53,130.3,112.35,226.72,364026.23,112005,5179862.22,2086767.11,2422412.3,1947364.32,2219123.7,967065.95,29931,5500622.26,4966043.83,11394660.55,4520113.96,4064973.03,7942293.24,6702191.52,4381849.8,4433580.66,6362149.45,6233693.19,1125878.53,4052509.52,8959738.25,4929024.6,5367059.87,211035.45,4264980.56,2710548.64,593615.11,1163776.32,2923080.35,364026.23,112005,4653801.52,1811389.11,1889438.06,1926549.32,989535,889410.95,29931,5164481.62,4917602.83,10497228.35,4419587.96,3593807.03,6368429.15,5768039.29,2334584.4,3893896.28,5556583.62,5782728.34,1125878.53,3363719.37,5498574.73,4244596.17,4379100.38,200643.59,3454370.94,2406715.73,291374.11,1008975.32,2668560.57,2863070.7,1185165.3,1232482.87,528253.25,672258.05,1565529.5,213803.1,329816,1897696.35,10121118.88,9972049.65,6324709.51,4398126.18,2521254.64,7434123.39,6223588.35,3401867.47,3064596.81,3916014.3,5829851.15,671705.83,5666062.18,9078605.1,3256674.01,1606202.94,4728575.02,677383.02,101297.5,289140.5,282815.01,11.05,78.64,335.06,6.97,,272.36,,,24.9,35.24,142.16,68.77,148.7,2041.76,1736,649.1,397.81,59.76,39.61,,39.95,245.8,30.75,146.48,6.41,8.9,3830,4590,3590,38629,17753,,11972,79516,44077,29103,101753,7849,75047,54517,59686,106195,49375,89754,18623,51839,33729,5290,11397,18326,1015,2019,8076,247401,402138,607556,1369950,4220652.3,5056420,1739449,3874533,370513,932278,2261784,1603979,193385,2833742.01,242338,,,260544,394629,570,450,400,,1.61,18287.58,565.84,14245.29,929.78,351.45
2014/4/1,110.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/2,110.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/3,110.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/4,110.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/8,110.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/9,110.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/10,110.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/11,110.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/14,110.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,460,410,,,,,,,
