指标名称,产量:火电:当月值,产量:水电:当月值,进口平均单价:碳酸钙:当月值
2017-01-31,,,394.11 
2017-02-03,,,
2017-02-10,,,
2017-02-17,,,
2017-02-20,,,
2017-02-24,,,
2017-02-28,,,457.00 
2017-03-03,,,
2017-03-10,,,
2017-03-17,,,
2017-03-20,,,
2017-03-24,,,
2017-03-31,3960.80 ,725.20 ,505.99 
2017-04-07,,,
2017-04-10,,,
2017-04-14,,,
2017-04-20,,,
2017-04-21,,,
2017-04-28,,,
2017-04-30,3521.80 ,743.40 ,436.66 
2017-05-05,,,
2017-05-10,,,
2017-05-12,,,
2017-05-19,,,
2017-05-20,,,
2017-05-26,,,
2017-05-31,3553.00 ,886.00 ,426.16 
2017-06-02,,,
2017-06-09,,,
2017-06-10,,,
2017-06-16,,,
2017-06-20,,,
2017-06-23,,,
2017-06-30,3710.00 ,1044.00 ,405.55 
2017-07-07,,,
2017-07-10,,,
2017-07-14,,,
2017-07-20,,,
2017-07-21,,,
2017-07-28,,,
2017-07-31,4334.00 ,1246.00 ,
2017-08-04,,,
2017-08-10,,,
2017-08-11,,,
