指标名称,36城市服务价格:有线电视收费:有线电视收费,出口数量:彩色电视机(包括整套散件):当月值,出口金额:彩色电视机(包括整套散件):当月值,申万行业指数:有线电视网络,申万行业指数:广播电影电视,Wind行业指数:有线和卫星电视,耐用品采购订单指数:电视机:环比,价格:液晶显示器面板:21.5寸:LED:FHD,价格:液晶电视面板:32寸:Open Cell:WXGA,"平均价:液晶电视面板:50""W 1920x1080 50/60Hz Open-Cell","平均价:液晶电视面板:32""W 1366x768 50/60Hz Open-Cell","零售均价:液晶电视:32"" LED","零售均价:液晶电视:55"" LED",产量:彩色电视机:累计值,销量:彩色电视机:累计值,出货量:液晶电视面板:当月值,出货量:大尺寸面板:液晶电视:当月值,出口数量:电视机(包括整套散件):当月值,进口数量:电视显像管:当月值,进口数量:彩色显像管:当月值,进口数量:二极管及类似半导体器件:当月值,进口数量:集成电路:当月值,进口平均单价:电视、收音机及无线电讯设备的零附件:当月值,进口平均单价:电容器:当月值,进口平均单价:电阻器:当月值,创维数码:销量:电视机:当月值
2012-10-25,,,,2048.54 ,1708.98 ,2117.05 ,,,,,,,,,,,,,,,,,,,,
2012-10-26,,,,2011.22 ,1677.84 ,2074.97 ,,,,,,,,,,,,,,,,,,,,
2012-10-29,,,,1986.73 ,1702.40 ,2054.08 ,,,,,,,,,,,,,,,,,,,,
2012-10-30,,,,1979.88 ,1713.24 ,2046.70 ,,,,,,,,,,,,,,,,,,,,
2012-10-31,,639.00 ,125369.90 ,1983.74 ,1712.25 ,2055.36 ,-5.70 ,,,,,404.00 ,1374.00 ,,,21.80 ,21530.00 ,640.00 ,7.00 ,7.00 ,28259.00 ,20786.00 ,99389.19 ,121756.74 ,118999.25 ,967.00 
2012-11-01,,,,2023.24 ,1736.00 ,2092.85 ,,,,,,,,,,,,,,,,,,,,
2012-11-02,,,,2041.19 ,1772.63 ,2106.78 ,,,,,,,,,,,,,,,,,,,,
2012-11-05,,,,2024.18 ,1754.36 ,2086.07 ,,79.00 ,105.00 ,,131.00 ,,,,,,,,,,,,,,,
2012-11-06,,,,2006.77 ,1776.70 ,2076.43 ,,,,,,,,,,,,,,,,,,,,
2012-11-07,,,,2000.32 ,1762.67 ,2069.41 ,,,,,,,,,,,,,,,,,,,,
2012-11-08,,,,1951.34 ,1743.39 ,2026.74 ,,,,,,,,,,,,,,,,,,,,
2012-11-09,,,,1941.50 ,1713.29 ,2022.06 ,,,,,,,,,,,,,,,,,,,,
2012-11-12,,,,1957.90 ,1714.34 ,2027.32 ,,,,,,,,,,,,,,,,,,,,
2012-11-13,,,,1929.50 ,1702.40 ,1982.86 ,,,,,,,,,,,,,,,,,,,,
2012-11-14,,,,1927.25 ,1698.08 ,1992.14 ,,,,,,,,,,,,,,,,,,,,
2012-11-15,,,,1871.98 ,1659.46 ,1946.36 ,,,,,,,,,,,,,,,,,,,,
2012-11-16,,,,1840.44 ,1667.55 ,1932.05 ,,,,,,,,,,,,,,,,,,,,
2012-11-19,,,,1848.22 ,1656.32 ,1933.11 ,,,,,,,,,,,,,,,,,,,,
2012-11-20,,,,1840.58 ,1643.81 ,1933.36 ,,79.00 ,106.00 ,,,,,,,,,,,,,,,,,
2012-11-21,,,,1863.49 ,1647.52 ,1949.22 ,,,,,,,,,,,,,,,,,,,,
2012-11-22,,,,1836.09 ,1651.29 ,1921.23 ,,,,,,,,,,,,,,,,,,,,
2012-11-23,,,,1844.18 ,1673.57 ,1928.69 ,,,,,,,,,,,,,,,,,,,,
2012-11-26,,,,1819.27 ,1645.71 ,1906.91 ,,,,,,,,,,,,,,,,,,,,
2012-11-27,,,,1743.79 ,1565.16 ,1824.65 ,,,,,,,,,,,,,,,,,,,,
2012-11-28,,,,1694.12 ,1561.78 ,1780.45 ,,,,,,,,,,,,,,,,,,,,
2012-11-29,,,,1675.87 ,1550.70 ,1752.99 ,,,,,,,,,,,,,,,,,,,,
2012-11-30,,492.00 ,104858.20 ,1691.60 ,1489.26 ,1769.67 ,-3.90 ,,,,,381.00 ,1375.00 ,,,22.40 ,22095.00 ,492.00 ,7.00 ,7.00 ,31261.00 ,23204.00 ,96210.13 ,111645.26 ,111341.36 ,1230.00 
2012-12-03,,,,1654.74 ,1430.71 ,1720.65 ,,,,,,,,,,,,,,,,,,,,
2012-12-04,,,,1684.79 ,1443.71 ,1739.53 ,,79.00 ,107.00 ,,,,,,,,,,,,,,,,,
2012-12-05,,,,1745.49 ,1489.73 ,1798.77 ,,,,,160.00 ,,,,,,,,,,,,,,,
2012-12-06,,,,1755.05 ,1475.18 ,1804.94 ,,,,,,,,,,,,,,,,,,,,
2012-12-07,,,,1782.63 ,1492.09 ,1841.36 ,,,,,,,,,,,,,,,,,,,,
2012-12-10,,,,1819.55 ,1508.59 ,1864.62 ,,,,,,,,,,,,,,,,,,,,
2012-12-11,,,,1793.62 ,1511.97 ,1838.30 ,,,,,,,,,,,,,,,,,,,,
2012-12-12,,,,1794.71 ,1495.42 ,1830.84 ,,,,,,,,,,,,,,,,,,,,
2012-12-13,,,,1757.84 ,1478.34 ,1797.66 ,,,,,,,,,,,,,,,,,,,,
2012-12-14,,,,1855.39 ,1538.97 ,1901.48 ,,,,,,,,,,,,,,,,,,,,
2012-12-17,,,,1868.84 ,1550.30 ,1900.41 ,,,,,,,,,,,,,,,,,,,,
2012-12-18,,,,1839.63 ,1543.90 ,1881.59 ,,,,,,,,,,,,,,,,,,,,
2012-12-19,,,,1846.76 ,1564.97 ,1894.01 ,,78.00 ,107.00 ,,,,,,,,,,,,,,,,,
2012-12-20,,,,1846.62 ,1577.56 ,1895.79 ,,,,,,,,,,,,,,,,,,,,
2012-12-21,,,,1840.42 ,1607.24 ,1899.41 ,,,,,,,,,,,,,,,,,,,,
2012-12-24,,,,1863.68 ,1636.14 ,1929.64 ,,,,,,,,,,,,,,,,,,,,
2012-12-25,,,,1895.14 ,1690.75 ,1960.09 ,,,,,,,,,,,,,,,,,,,,
2012-12-26,,,,1933.19 ,1716.89 ,2004.63 ,,,,,,,,,,,,,,,,,,,,
2012-12-27,,,,1912.18 ,1717.23 ,1982.52 ,,,,,,,,,,,,,,,,,,,,
2012-12-28,,,,1926.72 ,1755.38 ,2001.06 ,,,,,,,,,,,,,,,,,,,,
2012-12-31,,573.00 ,114514.40 ,1940.15 ,1806.88 ,2011.76 ,19.70 ,,,,,376.00 ,1320.00 ,13971.00 ,13725.40 ,20.40 ,19820.00 ,574.00 ,6.00 ,6.00 ,30722.00 ,22460.00 ,89127.29 ,121442.44 ,111317.46 ,1435.00 
2013-01-04,,,,1946.76 ,1833.28 ,2006.35 ,,77.50 ,105.00 ,,160.00 ,,,,,,,,,,,,,,,
2013-01-07,,,,1961.58 ,1849.27 ,2022.69 ,,,,,,,,,,,,,,,,,,,,
2013-01-08,,,,1979.24 ,1856.42 ,2042.66 ,,,,,,,,,,,,,,,,,,,,
2013-01-09,,,,1972.81 ,1822.24 ,2047.15 ,,,,,,,,,,,,,,,,,,,,
2013-01-10,,,,1993.35 ,1816.52 ,2065.71 ,,,,,,,,,,,,,,,,,,,,
2013-01-11,,,,1947.31 ,1785.02 ,2022.12 ,,,,,,,,,,,,,,,,,,,,
2013-01-14,,,,2004.04 ,1839.74 ,2078.77 ,,,,,,,,,,,,,,,,,,,,
2013-01-15,,,,2073.78 ,1879.24 ,2116.01 ,,,,,,,,,,,,,,,,,,,,
2013-01-16,,,,2044.05 ,1877.32 ,2089.38 ,,,,,,,,,,,,,,,,,,,,
2013-01-17,,,,2020.72 ,1869.16 ,2061.95 ,,,,,,,,,,,,,,,,,,,,
2013-01-18,,,,2045.29 ,1884.97 ,2085.24 ,,77.00 ,104.00 ,,,,,,,,,,,,,,,,,
2013-01-21,,,,2059.55 ,1922.05 ,2106.11 ,,,,,,,,,,,,,,,,,,,,
2013-01-22,,,,2029.92 ,1870.67 ,2080.57 ,,,,,,,,,,,,,,,,,,,,
2013-01-23,,,,2042.83 ,1871.43 ,2101.10 ,,,,,,,,,,,,,,,,,,,,
2013-01-24,,,,2012.04 ,1826.27 ,2068.43 ,,,,,,,,,,,,,,,,,,,,
2013-01-25,,,,2040.91 ,1842.82 ,2105.22 ,,,,,,,,,,,,,,,,,,,,
2013-01-28,,,,2084.88 ,1903.26 ,2149.50 ,,,,,,,,,,,,,,,,,,,,
2013-01-29,,,,2094.49 ,1935.03 ,2153.90 ,,,,,,,,,,,,,,,,,,,,
2013-01-30,,,,2093.85 ,1920.61 ,2161.80 ,,,,,,,,,,,,,,,,,,,,
2013-01-31,22.85 ,368.00 ,71754.60 ,2085.27 ,1909.48 ,2142.92 ,5.90 ,,,,,363.00 ,1321.00 ,,,19.30 ,18642.00 ,368.00 ,7.00 ,7.00 ,29858.00 ,20638.00 ,112884.57 ,119819.32 ,102356.09 ,1446.00 
2013-02-01,,,,2093.45 ,1945.69 ,2143.55 ,,,,,,,,,,,,,,,,,,,,
2013-02-04,,,,2062.02 ,1986.93 ,2116.19 ,,76.50 ,103.00 ,,,,,,,,,,,,,,,,,
2013-02-05,,,,2115.08 ,2010.15 ,2158.79 ,,,,,159.00 ,,,,,,,,,,,,,,,
2013-02-06,,,,2108.79 ,2004.39 ,2155.01 ,,,,,,,,,,,,,,,,,,,,
2013-02-07,,,,2104.38 ,2078.24 ,2157.65 ,,,,,,,,,,,,,,,,,,,,
2013-02-08,,,,2117.28 ,2128.26 ,2172.11 ,,,,,,,,,,,,,,,,,,,,
2013-02-18,,,,2135.33 ,2221.50 ,2170.69 ,,,,,,,,,,,,,,,,,,,,
2013-02-19,,,,2106.57 ,2145.70 ,2143.67 ,,76.00 ,102.00 ,,,,,,,,,,,,,,,,,
2013-02-20,,,,2149.73 ,2197.02 ,2192.55 ,,,,,158.00 ,,,,,,,,,,,,,,,
2013-02-21,,,,2089.93 ,2115.48 ,2131.00 ,,,,,,,,,,,,,,,,,,,,
2013-02-22,,,,2124.80 ,2147.67 ,2176.04 ,,,,,,,,,,,,,,,,,,,,
2013-02-25,,,,2133.64 ,2124.81 ,2198.61 ,,,,,,,,,,,,,,,,,,,,
2013-02-26,,,,2124.06 ,2144.30 ,2204.96 ,,,,,,,,,,,,,,,,,,,,
2013-02-27,,,,2128.33 ,2145.65 ,2208.45 ,,,,,,,,,,,,,,,,,,,,
2013-02-28,22.85 ,320.00 ,62035.80 ,2173.42 ,2165.85 ,2255.01 ,-12.20 ,,,,,350.00 ,1308.00 ,,,17.30 ,16606.00 ,320.00 ,2.00 ,2.00 ,21896.00 ,15604.00 ,110149.87 ,125352.00 ,107076.85 ,536.00 
2013-03-01,,,,2181.28 ,2162.11 ,2253.32 ,,,,,,,,,,,,,,,,,,,,
2013-03-04,,,,2083.83 ,2086.38 ,2146.26 ,,75.70 ,101.00 ,,,,,,,,,,,,,,,,,
2013-03-05,,,,2095.59 ,2148.60 ,2165.05 ,,,,,157.00 ,,,,,,,,,,,,,,,
2013-03-06,,,,2162.36 ,2227.19 ,2232.06 ,,,,,,,,,,,,,,,,,,,,
2013-03-07,,,,2110.29 ,2162.93 ,2174.46 ,,,,,,,,,,,,,,,,,,,,
2013-03-08,,,,2113.51 ,2156.88 ,2176.28 ,,,,,,,,,,,,,,,,,,,,
2013-03-11,,,,2106.84 ,2154.71 ,2165.84 ,,,,,,,,,,,,,,,,,,,,
2013-03-12,,,,2031.96 ,2070.73 ,2092.64 ,,,,,,,,,,,,,,,,,,,,
2013-03-13,,,,1986.04 ,2070.12 ,2052.84 ,,,,,,,,,,,,,,,,,,,,
2013-03-14,,,,1996.55 ,2116.07 ,2068.65 ,,,,,,,,,,,,,,,,,,,,
2013-03-15,,,,1977.97 ,2171.61 ,2048.30 ,,,,,,,,,,,,,,,,,,,,
2013-03-18,,,,1991.77 ,2196.00 ,2069.78 ,,,,,,,,,,,,,,,,,,,,
2013-03-19,,,,2001.40 ,2143.96 ,2076.10 ,,75.50 ,101.00 ,,,,,,,,,,,,,,,,,
2013-03-20,,,,2050.35 ,2199.10 ,2128.05 ,,,,,,,,,,,,,,,,,,,,
2013-03-21,,,,2068.14 ,2207.13 ,2140.54 ,,,,,,,,,,,,,,,,,,,,
2013-03-22,,,,2074.88 ,2202.79 ,2145.05 ,,,,,,,,,,,,,,,,,,,,
2013-03-25,,,,2045.64 ,2185.16 ,2114.05 ,,,,,100.00 ,,,,,,,,,,,,,,,
2013-03-26,,,,2033.52 ,2201.86 ,2107.47 ,,,,,,,,,,,,,,,,,,,,
2013-03-27,,,,2020.48 ,2235.27 ,2091.71 ,,,,,,,,,,,,,,,,,,,,
2013-03-28,,,,1977.90 ,2192.13 ,2036.26 ,,,,,,,,,,,,,,,,,,,,
2013-03-29,,,,2004.01 ,2151.32 ,2069.91 ,,,,,,,,,,,,,,,,,,,,
2013-03-31,22.85 ,406.00 ,83034.90 ,,,,8.20 ,,,,,347.00 ,1318.00 ,2878.80 ,3038.10 ,20.90 ,20521.00 ,406.00 ,3.00 ,3.00 ,31747.00 ,24423.00 ,102869.64 ,299199.73 ,118933.52 ,779.00 
2013-04-01,,,,2031.85 ,2148.19 ,2107.46 ,,,,,,,,,,,,,,,,,,,,
2013-04-02,,,,2015.43 ,2052.03 ,2092.21 ,,,,,,,,,,,,,,,,,,,,
2013-04-03,,,,1999.37 ,2075.73 ,2075.74 ,,,,,,,,,,,,,,,,,,,,
2013-04-04,,,,,,,,75.50 ,101.00 ,,,,,,,,,,,,,,,,,
2013-04-08,,,,2025.92 ,2148.01 ,2105.64 ,,,,,,,,,,,,,,,,,,,,
2013-04-09,,,,2042.09 ,2167.03 ,2115.21 ,,,,,,,,,,,,,,,,,,,,
2013-04-10,,,,2044.10 ,2158.12 ,2118.54 ,,,,,,,,,,,,,,,,,,,,
2013-04-11,,,,2029.08 ,2160.98 ,2095.37 ,,,,,,,,,,,,,,,,,,,,
2013-04-12,,,,2023.79 ,2193.68 ,2076.15 ,,,,,,,,,,,,,,,,,,,,
2013-04-15,,,,1984.32 ,2217.73 ,2047.27 ,,,,,,,,,,,,,,,,,,,,
2013-04-16,,,,1990.24 ,2259.58 ,2061.09 ,,,,,,,,,,,,,,,,,,,,
2013-04-17,,,,2003.18 ,2339.53 ,2068.14 ,,,,,,,,,,,,,,,,,,,,
2013-04-18,,,,2025.20 ,2370.63 ,2091.60 ,,,,,,,,,,,,,,,,,,,,
2013-04-19,,,,2049.92 ,2392.71 ,2120.89 ,,75.20 ,100.00 ,,,,,,,,,,,,,,,,,
2013-04-22,,,,2095.34 ,2558.46 ,2166.93 ,,,,,,,,,,,,,,,,,,,,
2013-04-23,,,,2026.29 ,2511.19 ,2083.66 ,,,,,,,,,,,,,,,,,,,,
